ememy,player_health,enemy_health,gain,time,lefts,rights,jumps,releases,shots,accuracy
5,100,100,0,1000,527,3,900,0,0,0
5,100,100,0,1000,1054,6,1800,0,0,0
5,100,100,0,1000,1581,9,2700,0,0,0
5,100,100,0,1000,2108,12,3600,0,0,0
5,100,100,0,1000,2635,15,4500,0,0,0
5,100,100,0,1000,1000,946,1000,186,0,0
5,100,100,0,1000,2000,1892,2000,372,0,0
5,100,100,0,1000,3000,2838,3000,558,0,0
5,100,100,0,1000,4000,3784,4000,744,0,0
5,100,100,0,1000,5000,4730,5000,930,0,0
5,100,100,0,1000,1000,0,838,4,0,0
5,100,100,0,1000,2000,0,1676,8,0,0
5,100,100,0,1000,3000,0,2514,12,0,0
5,100,100,0,1000,4000,0,3352,16,0,0
5,100,100,0,1000,5000,0,4190,20,0,0
